,vor_id,sum_pop_elderly,sum_pop_youth,sum_pop_general,sum_pop_women,sum_pop,min_pop,max_pop
153,vor298,1712.2296239999998,7960.308840000001,33597.572022000015,15790.190345999998,35832.3828125,58.02032852172852,144.6436767578125
154,vor299,2314.870656,10762.04096,45422.66556800001,21347.749024,40163.17578125,74.20965576171875,149.55064392089844
155,vor300,2038.043112,9475.04492,39990.72278600001,18794.843998,35003.22265625,71.97200012207031,149.13319396972656
156,vor301,2183.861736,10152.968760000002,42851.993058000015,20139.584094,40089.4921875,89.051513671875,152.05279541015625
157,vor302,2005.00608,9321.4528,39342.466240000016,18490.17632,42300.328125,83.11080169677734,150.02059936523438
158,vor303,1457.047032,6773.9421200000015,28590.349046000007,13436.895178,37842.43359375,73.50597381591797,141.1341552734375
159,vor304,2436.7659120000003,11328.74292,47814.50868600002,22471.867697999995,39837.1640625,75.18004608154297,149.66015625
160,vor305,3082.696848,14331.733680000005,60489.04184400003,28428.646091999995,30587.8515625,69.17469787597656,121.96660614013672
161,vor306,1879.6932,8738.862000000001,36883.56210000002,17334.540299999997,36254.04296875,46.64630126953125,139.44699096679688
162,vor315,1138.068792,5290.98372,22331.320326,10495.276218,8036.3935546875,9.723554611206056,72.7838363647461
163,vor317,512.6436,2383.326,10059.153300000002,4727.6019,11918.81640625,16.387645721435547,84.7866439819336
164,vor318,418.089336,1943.73476,8203.798358000002,3855.621994,10055.154296875,13.24876880645752,101.32083129882812
165,vor319,1070.8555199999998,4978.5032,21012.45356,9875.43508,21163.3515625,17.78463363647461,125.05510711669922
166,vor320,1717.925664,7986.79024,33709.34039200001,15842.719255999997,33217.0546875,53.75164794921875,138.74900817871094
167,vor321,2426.51304,11281.076400000002,47613.32562000001,22377.31566,42534.68359375,81.45904541015625,144.89697265625
168,vor322,2442.461952,11355.22432,47926.277056000006,22524.396607999995,39833.6875,69.68745422363281,147.90435791015625
169,vor323,1932.096768,8982.490880000001,37911.83110400001,17817.806271999998,35951.2578125,66.97547912597656,148.9298858642578
170,vor324,2025.511824,9416.785840000002,39744.832372,18679.280395999995,33703.8984375,61.15545654296875,144.0248260498047
171,vor325,1868.30112,8685.8992,36660.025360000014,17229.482479999995,34932.2421875,51.96053314208984,147.159423828125
172,vor326,2282.972832,10613.74512,44796.76269600001,21053.587128,40537.1796875,49.28635787963867,157.0091552734375
173,vor327,2274.998376,10576.671160000002,44640.28697800001,20980.046653999994,42642.7734375,99.64688873291016,142.3975067138672
174,vor328,3090.6713040000004,14368.807640000005,60645.51756200003,28502.186566,32239.736328125,56.62250900268555,130.14199829101562
175,vor329,2967.63684,13796.809400000002,58231.32077000003,27367.562109999995,27133.751953125,55.71026229858398,106.24036407470705
176,vor330,1590.3343679999996,7393.606880000001,31205.72890400001,14666.071671999998,29213.2265625,41.08687973022461,125.25456237792967
177,vor331,82.022976,381.33216,1609.4645280000002,756.416304,7160.63671875,10.29356861114502,58.8409538269043
178,vor343,1438.819704,6689.201640000001,28232.690262000004,13268.802665999998,20217.095703125,10.74450969696045,123.65016174316406
179,vor344,2418.538584,11244.00244,47456.84990200001,22303.775185999995,36724.2421875,67.69734954833984,139.23127746582028
180,vor345,2686.252464,12488.628240000002,52709.96329200002,24772.633956,45360.16015625,83.6446304321289,156.02206420898438
181,vor346,2377.5270960000003,11053.33636,46652.11763800001,21925.567033999992,32639.61328125,69.19743347167969,123.91129302978516
182,vor347,1372.74564,6382.0174000000015,26936.177170000006,12659.467309999996,31434.103515625,37.28207015991211,132.14506530761722
183,vor348,404.4188400000001,1880.1794,7935.55427,3729.55261,20086.26171875,38.93347549438477,109.99451446533205
184,vor349,814.5337199999999,3786.8402,15982.87691,7511.634129999998,29835.10546875,56.12128067016602,146.66477966308594
185,vor350,1806.783888,8399.900080000001,35452.92696400001,16662.170251999996,41011.9453125,66.83327484130861,147.15167236328125
186,vor351,2132.597376,9914.636160000002,41846.077728,19666.823904,38601.9609375,90.345703125,137.65785217285156
187,vor352,3356.106768,15602.840880000003,65853.92360400001,30950.033771999995,26524.556640625,50.60218811035156,109.71141815185548
188,vor353,2971.0544640000003,13812.698240000002,58298.38179200002,27399.07945599999,31950.83203125,70.27285003662111,137.78936767578122
189,vor354,1714.50804,7970.901400000002,33642.279370000004,15811.201909999994,37778.2890625,56.44000244140625,144.38014221191406
190,vor367,1318.0636559999996,6127.79596,25863.200818000005,12155.189774,24457.0859375,25.68586158752441,133.72805786132812
191,vor368,2595.115824,12064.925840000002,50921.66937200001,23932.171396,43173.65625,71.96942138671875,150.91510009765625
192,vor369,2224.873224,10343.634840000002,43656.72532200001,20517.792246,37065.296875,88.4991683959961,135.59056091308594
193,vor370,2058.5488559999994,9570.377960000002,40393.088918000016,18983.948074,37790.6171875,56.42630004882813,142.4876708984375
194,vor371,438.59508,2039.0678,8606.164490000001,4044.72607,29332.1875,47.23723983764648,144.12704467773438
195,vor372,1959.4377600000007,9109.6016,38448.31928000002,18069.94504,40631.5625,74.93775177001953,152.32948303222656
196,vor373,1860.326664,8648.82524,36503.54964200001,17155.942005999994,42537.0,84.47029876708984,156.88400268554688
197,vor374,2623.5960240000004,12197.33284,51480.51122200002,24194.815945999995,35819.6953125,60.73945236206055,131.10398864746094
198,vor375,2213.4811440000008,10290.67204,43433.188582,20412.734425999995,32014.064453125,53.46682357788086,124.93663024902344
199,vor376,2009.562912,9342.63792,39431.880936000016,18532.199448,37628.98828125,59.95524597167969,143.93350219726562
200,vor377,1591.473576,7398.90316,31228.082578,14676.577453999998,33557.734375,50.8400764465332,121.7673568725586
201,vor389,836.178672,3887.469520000001,16407.596716,7711.243987999998,8698.2021484375,11.996170997619627,47.28700256347656
202,vor390,1986.778752,9236.71232,38984.807456,18322.083808,29070.22265625,32.157821655273445,140.38111877441406
203,vor391,1228.066224,5709.389840000002,24097.260572000007,11325.232996,37587.6171875,61.92828750610352,141.5044403076172
204,vor392,485.302608,2256.21528,9522.665124,4475.463132000001,22077.96484375,29.80949211120605,125.15442657470705
205,vor393,1081.108392,5026.169720000001,21213.636626000003,9969.987118,28346.009765625,22.074440002441406,128.58062744140622
206,vor394,2145.128664,9972.895240000002,42091.96814200001,19782.387506,35457.8671875,54.61492919921875,143.7799530029297
207,vor395,1402.365048,6519.720679999999,27517.372694000005,12932.617641999996,30405.078125,25.64339256286621,135.32560729980472
208,vor397,1048.07136,4872.577600000001,20565.380080000006,9665.31944,25911.71875,30.799524307250977,131.10398864746094
209,vor398,1809.062304,8410.49264,35497.634312,16683.181815999997,37662.33984375,49.68377304077149,143.7686309814453
210,vor399,1873.99716,8712.3806,36771.79373000001,17282.011389999996,33830.7109375,49.25968170166016,138.23175048828122
211,vor410,1018.451952,4734.87432,19984.184556,9392.169108,18706.244140625,19.2834587097168,118.86580657958984
212,vor412,677.82876,3151.2866,13300.43603,6250.94029,17211.13671875,20.26287078857422,76.66280364990234
213,vor414,535.4277599999999,2489.2516,10506.22678,4937.71754,25217.4375,19.55670928955078,131.52438354492188
214,vor415,2093.864304,9734.56264,41086.052812000016,19309.627316,24769.587890625,29.08925437927246,128.93417358398438
215,vor418,1286.165832,5979.5001200000015,25237.29794600001,11861.027878,25259.09765625,40.449256896972656,124.50072479248048
216,vor419,1892.224488,8797.121079999999,37129.452514,17450.103901999995,26347.01171875,39.42045593261719,122.36466979980467
217,vor420,1246.293552,5794.13032,24454.919356,11493.325507999998,11105.3779296875,14.39202117919922,68.43490600585939
218,vor432,969.466008,4507.134279999999,19022.976574,8940.420481999998,17719.60546875,18.148744583129886,89.68006896972656
219,vor433,1282.748208,5963.61128,25170.236924,11829.510531999998,26201.73828125,53.9775276184082,119.71565246582033
220,vor439,1285.026624,5974.20384,25214.944272000004,11850.522095999995,19871.3125,24.515857696533203,103.26577758789062
221,vor440,2670.303552,12414.480320000002,52397.01185600001,24625.553007999995,32095.08984375,47.92475128173828,127.76223754882812
222,vor441,791.7495600000002,3680.9146,15535.803430000002,7301.518489999998,8651.4931640625,10.180468559265137,71.10716247558594
223,vor462,1966.273008,9141.37928,38582.441324000014,18132.979732,22457.6015625,25.66465759277344,108.673095703125
224,vor463,1917.287064,8913.63924,37621.233342000014,17681.231106,31793.16796875,58.61188125610352,126.4724578857422
225,vor464,1083.386808,5036.762280000002,21258.343974000003,9990.998681999998,14468.7998046875,12.382501602172852,118.74330139160156
226,vor485,354.293688,1647.14308,6951.992614000002,3267.298202,9540.720703125,10.948274612426758,85.06720733642578
227,vor486,1090.222056,5068.53996,21392.466018000006,10054.033374,13758.056640625,16.052162170410153,107.3849868774414
