vor_id,res_value_sqyard,com_value_sqyard
vor700,12000.0,12000.0
vor701,12000.0,12000.0
vor702,12000.0,12000.0
vor703,12000.0,12000.0
vor704,12000.0,12000.0
vor705,12000.0,12000.0
vor706,12000.0,12000.0
vor707,12000.0,12000.0
vor708,12000.0,12000.0
vor709,12000.0,12000.0
vor710,12000.0,12000.0
vor711,12000.0,12000.0
vor712,12000.0,12000.0
vor713,12000.0,12000.0
vor714,12000.0,12000.0
vor715,12000.0,12000.0
vor716,12000.0,12000.0
vor717,12000.0,12000.0
vor718,12000.0,12000.0
vor719,12000.0,12000.0
vor720,12000.0,12000.0
vor721,12000.0,12000.0
vor722,12000.0,12000.0
vor723,12000.0,12000.0
vor724,12000.0,12000.0
vor725,12000.0,12000.0
vor726,12000.0,12000.0
vor727,12000.0,12000.0
vor728,12000.0,12000.0
vor729,12000.0,12000.0
vor730,12000.0,12000.0
vor731,12000.0,12000.0
vor732,12000.0,12000.0
vor733,12000.0,12000.0
vor734,12000.0,12000.0
vor735,12000.0,12000.0
vor736,12000.0,12000.0
vor737,3600.0,5400.0
vor738,3600.0,5400.0
vor739,3600.0,5400.0
vor740,3600.0,5400.0
vor741,3600.0,5400.0
vor742,3600.0,5400.0
vor743,3600.0,5400.0
vor744,3600.0,5400.0
vor745,7200.0,12000.0
vor746,7200.0,12000.0
vor747,12000.0,12000.0
vor748,12000.0,12000.0
vor749,12000.0,12000.0
vor750,12000.0,12000.0
vor751,12000.0,12000.0
vor752,12000.0,12000.0
vor753,12000.0,12000.0
vor754,12000.0,12000.0
vor755,12000.0,12000.0
vor756,12000.0,12000.0
vor757,12000.0,12000.0
vor758,12000.0,12000.0
vor759,12000.0,12000.0
vor760,12000.0,12000.0
vor761,12000.0,12000.0
vor762,12000.0,12000.0
vor763,12000.0,12000.0
vor764,12000.0,12000.0
vor765,12000.0,12000.0
vor766,12000.0,12000.0
vor767,12000.0,12000.0
vor768,12000.0,12000.0
vor769,12000.0,12000.0
vor770,12000.0,12000.0
vor771,12000.0,12000.0
vor772,12000.0,12000.0
vor773,12000.0,12000.0
vor774,12000.0,12000.0
vor775,12000.0,12000.0
vor776,12000.0,12000.0
vor777,12000.0,12000.0
vor778,12000.0,12000.0
vor779,12000.0,12000.0
vor780,12000.0,12000.0
vor781,12000.0,12000.0
vor782,3600.0,5400.0
vor783,3600.0,5400.0
vor784,4800.0,7560.0
vor785,4800.0,7560.0
vor786,4800.0,7560.0
vor787,4800.0,7560.0
vor788,7200.0,12000.0
vor789,7200.0,12000.0
vor790,7200.0,12000.0
vor791,7200.0,12000.0
vor792,7200.0,12000.0
vor793,12000.0,12000.0
vor794,12000.0,12000.0
vor795,12000.0,12000.0
vor796,12000.0,12000.0
vor797,12000.0,12000.0
vor798,12000.0,12000.0
vor799,12000.0,12000.0
vor800,12000.0,12000.0
vor801,12000.0,12000.0
vor802,12000.0,12000.0
vor803,12000.0,12000.0
vor804,12000.0,12000.0
vor805,12000.0,12000.0
vor806,12000.0,12000.0
vor807,12000.0,12000.0
vor808,12000.0,12000.0
vor809,12000.0,12000.0
vor810,12000.0,12000.0
vor811,12000.0,12000.0
vor812,12000.0,12000.0
vor813,12000.0,12000.0
vor814,12000.0,12000.0
vor815,12000.0,12000.0
vor816,12000.0,12000.0
vor817,12000.0,12000.0
vor818,12000.0,12000.0
vor819,12000.0,12000.0
vor820,12000.0,12000.0
vor821,12000.0,12000.0
vor822,12000.0,12000.0
vor823,12000.0,12000.0
vor824,12000.0,12000.0
vor825,12000.0,12000.0
vor826,12000.0,12000.0
vor827,12000.0,12000.0
vor828,4800.0,7560.0
vor829,4800.0,7560.0
vor830,4800.0,7560.0
vor831,4800.0,7560.0
vor832,4800.0,7560.0
vor833,4800.0,7560.0
vor834,7200.0,12000.0
vor835,7200.0,12000.0
vor836,7200.0,12000.0
vor837,7200.0,12000.0
vor838,7200.0,12000.0
vor839,12000.0,12000.0
vor840,12000.0,12000.0
vor841,12000.0,12000.0
vor842,12000.0,12000.0
vor843,12000.0,12000.0
vor844,12000.0,12000.0
vor845,12000.0,12000.0
vor846,12000.0,12000.0
vor847,12000.0,12000.0
vor848,12000.0,12000.0
vor849,12000.0,12000.0
vor850,12000.0,12000.0
vor851,12000.0,12000.0
vor852,12000.0,12000.0
vor853,12000.0,12000.0
vor854,12000.0,12000.0
vor855,12000.0,12000.0
vor856,12000.0,12000.0
vor857,12000.0,12000.0
vor858,12000.0,12000.0
vor859,12000.0,12000.0
vor860,12000.0,12000.0
vor861,12000.0,12000.0
vor862,12000.0,12000.0
vor863,12000.0,12000.0
vor864,12000.0,12000.0
vor865,12000.0,12000.0
vor866,12000.0,12000.0
vor867,12000.0,12000.0
vor868,12000.0,12000.0
vor869,12000.0,12000.0
vor870,12000.0,12000.0
vor871,12000.0,12000.0
vor872,4800.0,7560.0
vor873,4800.0,7560.0
vor874,4800.0,7560.0
vor875,4800.0,7560.0
vor876,4800.0,7560.0
vor877,4800.0,7560.0
vor878,7200.0,12000.0
vor879,7200.0,12000.0
vor880,7200.0,12000.0
vor881,7200.0,12000.0
vor882,7200.0,12000.0
vor883,7200.0,12000.0
vor884,12000.0,12000.0
vor885,12000.0,12000.0
vor886,12000.0,12000.0
vor887,12000.0,12000.0
vor888,12000.0,12000.0
vor889,12000.0,12000.0
vor890,12000.0,12000.0
vor891,12000.0,12000.0
vor892,12000.0,12000.0
vor893,12000.0,12000.0
vor894,12000.0,12000.0
vor895,12000.0,12000.0
vor896,12000.0,12000.0
vor897,12000.0,12000.0
vor898,12000.0,12000.0
vor899,12000.0,12000.0
vor900,12000.0,12000.0
vor901,12000.0,12000.0
vor902,12000.0,12000.0
vor903,12000.0,12000.0
vor904,12000.0,12000.0
vor905,12000.0,12000.0
vor906,12000.0,12000.0
vor907,12000.0,12000.0
vor908,12000.0,12000.0
vor909,12000.0,12000.0
vor910,12000.0,12000.0
vor911,12000.0,12000.0
vor912,12000.0,12000.0
vor913,12000.0,12000.0
vor914,12000.0,12000.0
vor915,12000.0,12000.0
vor916,4800.0,7560.0
vor917,4800.0,7560.0
vor918,4800.0,7560.0
vor919,4800.0,7560.0
vor920,4800.0,7560.0
vor921,7200.0,12000.0
vor922,7200.0,12000.0
vor923,7200.0,12000.0
vor924,7200.0,12000.0
vor925,7200.0,12000.0
vor926,7200.0,12000.0
vor927,12000.0,12000.0
vor928,12000.0,12000.0
vor929,12000.0,12000.0
vor930,12000.0,12000.0
vor931,12000.0,12000.0
vor932,12000.0,12000.0
vor933,12000.0,12000.0
vor934,12000.0,12000.0
vor935,12000.0,12000.0
vor936,12000.0,12000.0
vor937,12000.0,12000.0
vor938,12000.0,12000.0
vor939,12000.0,12000.0
vor940,12000.0,12000.0
vor941,12000.0,12000.0
vor942,12000.0,12000.0
vor943,12000.0,12000.0
vor944,12000.0,12000.0
vor945,12000.0,12000.0
vor946,12000.0,12000.0
vor947,12000.0,12000.0
vor948,12000.0,12000.0
vor949,12000.0,12000.0
vor950,12000.0,12000.0
vor951,12000.0,12000.0
vor952,12000.0,12000.0
vor953,12000.0,12000.0
vor954,12000.0,12000.0
vor955,12000.0,12000.0
vor956,4800.0,7560.0
vor957,4800.0,7560.0
vor958,4800.0,7560.0
vor959,4800.0,7560.0
vor960,4800.0,7560.0
vor961,4800.0,7560.0
vor962,7200.0,12000.0
vor963,7200.0,12000.0
vor964,7200.0,12000.0
vor965,7200.0,12000.0
vor966,7200.0,12000.0
vor967,10058.0,10058.0
vor968,10058.0,10058.0
vor969,10058.0,10058.0
vor970,10058.0,10058.0
vor971,10058.0,10058.0
vor972,10058.0,10058.0
vor973,12000.0,12000.0
vor974,12000.0,12000.0
vor975,12000.0,12000.0
vor976,12000.0,12000.0
vor977,12000.0,12000.0
vor978,12000.0,12000.0
vor979,12000.0,12000.0
vor980,12000.0,12000.0
vor981,12000.0,12000.0
vor982,12000.0,12000.0
vor983,12000.0,12000.0
vor984,12000.0,12000.0
vor985,12000.0,12000.0
vor986,12000.0,12000.0
vor987,12000.0,12000.0
vor988,12000.0,12000.0
vor989,12000.0,12000.0
