area,res_value_marla,com_value_marla,address
GOVT. EMPLOYEES COOP HOUSING SOCIETYPECO ROAD TONWHSIP SIDE,"473,400","1,022,400","GOVT.+EMPLOYEES+COOP+HOUSING+SOCIETYPECO+ROAD+TONWHSIP+SIDE,LAHORE+,PAKISTAN"
AIR LINE SOCIETY MOUZA RAKH KHAMBA,"579,000","665,100","AIR+LINE+SOCIETY+MOUZA+RAKH+KHAMBA,LAHORE+,PAKISTAN"
ARCHITECT HOUSING SOCEITY,"407,400","662,400","ARCHITECT+HOUSING+SOCEITY,LAHORE+,PAKISTAN"
SEGAL ESTATE,"550,800","999,000","SEGAL+ESTATE,LAHORE+,PAKISTAN"
SUNDAR INDSUTRIAL ESTATE,-,"590,700","SUNDAR+INDSUTRIAL+ESTATE,LAHORE+,PAKISTAN"
L.C.C. I. HOUSING SOCIETY,"358,200","586,500","L.C.C.+I.+HOUSING+SOCIETY,LAHORE+,PAKISTAN"
AL MADINA ROAD / MAIN MARKET TOWNHIP,-,"1,374,000","AL+MADINA+ROAD+/+MAIN+MARKET+TOWNHIP,LAHORE+,PAKISTAN"
AABPARA HOUSING SOCEITY KANJRA,"444,000","695,400","AABPARA+HOUSING+SOCEITY+KANJRA,LAHORE+,PAKISTAN"
ABID TOWN JOGEENPURA,"432,000","814,800","ABID+TOWN+JOGEENPURA,LAHORE+,PAKISTAN"
AL JANAAT HOUSE SCEHME RAKH KHAMABA,"319,950","592,800","AL+JANAAT+HOUSE+SCEHME+RAKH+KHAMABA,LAHORE+,PAKISTAN"
AL KARAM CITY MANGA MANDI MANGA OTHAR,"149,250","298,500","AL+KARAM+CITY+MANGA+MANDI+MANGA+OTHAR,LAHORE+,PAKISTAN"
AYUBIA TOWN MUHAMMAD SULTANABAD,"460,800","823,200","AYUBIA+TOWN+MUHAMMAD+SULTANABAD,LAHORE+,PAKISTAN"
CHOWK YATEEM KHANA TO MULTAN CHUNGIOPP IQBAL TOWN SIDE,"724,800","1,304,640","CHOWK+YATEEM+KHANA+TO+MULTAN+CHUNGIOPP+IQBAL+TOWN+SIDE,LAHORE+,PAKISTAN"
COLLEGE TEACHER SOCIETY AJODIAPUR,"475,500","942,600","COLLEGE+TEACHER+SOCIETY+AJODIAPUR,LAHORE+,PAKISTAN"
DUBAI GARDEN MANGA MANDI MANGA OTHAR,"149,250","298,500","DUBAI+GARDEN+MANGA+MANDI+MANGA+OTHAR,LAHORE+,PAKISTAN"
