area,res_value_marla,com_value_marla,address
KOREY | ADJOINING ABADIS,"296,400","546,000","KOREY+|+ADJOINING+ABADIS,LAHORE+,PAKISTAN"
KOT LAKHPAT (INDUSTRIAL AREA),"1,014,000","1,092,000","KOT+LAKHPAT+(INDUSTRIAL+AREA),LAHORE+,PAKISTAN"
KOT LAKHPAT (JURISDICTON (N.T),"436,800","811,200","KOT+LAKHPAT+(JURISDICTON+(N.T),LAHORE+,PAKISTAN"
LACK CITY HOLDING (PVT) LTD.,"421,200","546,000","LACK+CITY+HOLDING+(PVT)+LTD.,LAHORE+,PAKISTAN"
LIDHER & ADJOINING ABADIS (WCB),"265,200","483,600","LIDHER+&+ADJOINING+ABADIS+(WCB),LAHORE+,PAKISTAN"
M/S INDUSTRIAL COOP SOCIETY,"296,400","429,000","M/S+INDUSTRIAL+COOP+SOCIETY,LAHORE+,PAKISTAN"
M/S LAHORE GARDEN (ELITE) COOP SOCIETY(KAHNA NAU),"184,800","396,000","M/S+LAHORE+GARDEN+(ELITE)+COOP+SOCIETY(KAHNA+NAU),LAHORE+,PAKISTAN"
M/S OVERSEAS COOP SOCIETY (BAGARIANDHARAM CHAND),"218,400","374,400","M/S+OVERSEAS+COOP+SOCIETY+(BAGARIANDHARAM+CHAND),LAHORE+,PAKISTAN"
MADINA COLONY (KOREY),"296,400","702,000","MADINA+COLONY+(KOREY),LAHORE+,PAKISTAN"
MADINA TOWN / MADINA GARDEN(GAJJUMATTA & DULU KALAN),"303,600","396,000","MADINA+TOWN+/+MADINA+GARDEN(GAJJUMATTA+&+DULU+KALAN),LAHORE+,PAKISTAN"
MAIN BOULEVARD DEFENCE KHAYABAN EJINNAH,"452,400","3,057,600","MAIN+BOULEVARD+DEFENCE+KHAYABAN+EJINNAH,LAHORE+,PAKISTAN"
MAIN BOULEVARD KHABAYAN E IQBAL DHA,"405,600","2,480,400","MAIN+BOULEVARD+KHABAYAN+E+IQBAL+DHA,LAHORE+,PAKISTAN"
MAIN RAIWIND ROAD (ALI RAZA ABAD TOBHOBATIAN),"288,600","670,800","MAIN+RAIWIND+ROAD+(ALI+RAZA+ABAD+TOBHOBATIAN),LAHORE+,PAKISTAN"
MIAN RAIWIND ROAD (BHOBATIAN TO  PAJIL HIHB,"249,600","452,400","MIAN+RAIWIND+ROAD+(BHOBATIAN+TO++PAJIL+HIHB,LAHORE+,PAKISTAN"
MILITARY ACCOUNTS COOP SOCIETY(BAGARIAN DHARAMCHAND),"259,200","460,800","MILITARY+ACCOUNTS+COOP+SOCIETY(BAGARIAN+DHARAMCHAND),LAHORE+,PAKISTAN"
MILLAT TRACTOR EMPLOYEES CO OP SOCIETY(KACHHA),"140,400","249,600","MILLAT+TRACTOR+EMPLOYEES+CO+OP+SOCIETY(KACHHA),LAHORE+,PAKISTAN"
N.B.P OFFICERS CO OP SOCIETY (KAMAHAN),"265,200","390,000","N.B.P+OFFICERS+CO+OP+SOCIETY+(KAMAHAN),LAHORE+,PAKISTAN"
NANGAR,"140,400","218,400","NANGAR,LAHORE+,PAKISTAN"
NATIONAL INDUSTRIAL FINANCE COOPSOCIETY,"265,200","390,000","NATIONAL+INDUSTRIAL+FINANCE+COOPSOCIETY,LAHORE+,PAKISTAN"
NAU BAHAR SOCIETY,"257,400","343,200","NAU+BAHAR+SOCIETY,LAHORE+,PAKISTAN"
NAZ TOWN (SADHOKI),"265,200","390,000","NAZ+TOWN+(SADHOKI),LAHORE+,PAKISTAN"
NASHEMAN PARK / TOWN COLONY,"265,200","390,000","NASHEMAN+PARK+/+TOWN+COLONY,LAHORE+,PAKISTAN"
NISHAT COLONY (WCB) (CHUNG KHURD),"304,200","499,200","NISHAT+COLONY+(WCB)+(CHUNG+KHURD),LAHORE+,PAKISTAN"
NISHTER COLONY,"462,000","660,000","NISHTER+COLONY,LAHORE+,PAKISTAN"
OFFICERS COLONY CAVALRY GROUND,"670,800","1,747,200","OFFICERS+COLONY+CAVALRY+GROUND,LAHORE+,PAKISTAN"
OFFICIALS COOP SOCIETY (BAGARIANDHARAMCHAND),"210,600","382,200","OFFICIALS+COOP+SOCIETY+(BAGARIANDHARAMCHAND),LAHORE+,PAKISTAN"
OVERHEAD BRIDGE TO CHOWK CAVALRYGROUND,––,"3,229,200","OVERHEAD+BRIDGE+TO+CHOWK+CAVALRYGROUND,LAHORE+,PAKISTAN"
OVERSEAS PAKISTANIS FOUNDATION SOCIETY(AMEER PURA),"273,000","561,600","OVERSEAS+PAKISTANIS+FOUNDATION+SOCIETY(AMEER+PURA),LAHORE+,PAKISTAN"
PCSIR (STAFF) COOP (SADHOKI / BAGARIANDHARAMCHAND),"249,600","452,400","PCSIR+(STAFF)+COOP+(SADHOKI+/+BAGARIANDHARAMCHAND),LAHORE+,PAKISTAN"
PAK ARAB SOCIETY (CHANDRAI),"528,000","990,000","PAK+ARAB+SOCIETY+(CHANDRAI),LAHORE+,PAKISTAN"
PAKISTAN MEDICAL COOP SOCIETY (TAROGILL),"195,000","343,200","PAKISTAN+MEDICAL+COOP+SOCIETY+(TAROGILL),LAHORE+,PAKISTAN"
PAKISTAN RANGER COOP SOCIETY (SADHOKI),"234,000","382,200","PAKISTAN+RANGER+COOP+SOCIETY+(SADHOKI),LAHORE+,PAKISTAN"
KEER KALAN,"257,400","452,400","KEER+KALAN,LAHORE+,PAKISTAN"
"PUNJAB CO-OP SOCIETY (AMER SADHU "" &KAMAHAN)","501,600","792,000","PUNJAB+CO-OP+SOCIETY+(AMER+SADHU+""+&KAMAHAN),LAHORE+,PAKISTAN"
PUNJAB PARK (PHASE I & III (GAJJUMATTA),"237,600","396,000","PUNJAB+PARK+(PHASE+I+&+III+(GAJJUMATTA),LAHORE+,PAKISTAN"
PUNJAB SMALL INDUSTRY COOP (CHUNGKHURD & LIDHER),"351,000","655,200","PUNJAB+SMALL+INDUSTRY+COOP+(CHUNGKHURD+&+LIDHER),LAHORE+,PAKISTAN"
QUAID E A2AM INDUSTRIAL ESTATE,"842,400","873,600","QUAID+E+A2AM+INDUSTRIAL+ESTATE,LAHORE+,PAKISTAN"
R.A BAZAR & ADJOINING ABADIS,"343,200","624,000","R.A+BAZAR+&+ADJOINING+ABADIS,LAHORE+,PAKISTAN"
REHMAN GARDEN (CHUNG KHURD),"343,200","624,000","REHMAN+GARDEN+(CHUNG+KHURD),LAHORE+,PAKISTAN"
RORANWALA,"148,200","171,600","RORANWALA,LAHORE+,PAKISTAN"
SAADAT COOP SOCIETY (BAGARIAN' DHARAMCHAND & NAGAR),"249,600","374,400","SAADAT+COOP+SOCIETY+(BAGARIAN'+DHARAMCHAND+&+NAGAR),LAHORE+,PAKISTAN"
SADHOKI,"249,600","390,000","SADHOKI,LAHORE+,PAKISTAN"
SARGODHA COOP SOCIETY (BHOBATIAN),"249,600","351,000","SARGODHA+COOP+SOCIETY+(BHOBATIAN),LAHORE+,PAKISTAN"
SAROBA GARDEN (ATTARI SAROBA),"528,000","792,000","SAROBA+GARDEN+(ATTARI+SAROBA),LAHORE+,PAKISTAN"
SHAH TAJ COLONY (KOREY),"331,200","592,800","SHAH+TAJ+COLONY+(KOREY),LAHORE+,PAKISTAN"
SHALIMAR TOWN (GAJJUMATTA),"264,000","528,000","SHALIMAR+TOWN+(GAJJUMATTA),LAHORE+,PAKISTAN"
SHARIF ABAD TOWN (GAJJUMATTA),"264,000","528,000","SHARIF+ABAD+TOWN+(GAJJUMATTA),LAHORE+,PAKISTAN"
SHAUKAT TOWN (AMER SIDHU) WCB,"343,200","608,400","SHAUKAT+TOWN+(AMER+SIDHU)+WCB,LAHORE+,PAKISTAN"
SHERAZ VILLAZ (I & II) (KOREY) .,"327,600","608,400","SHERAZ+VILLAZ+(I+&+II)+(KOREY)+.,LAHORE+,PAKISTAN"
SITARA COLONY (AMER SIDHU),"330,000","660,000","SITARA+COLONY+(AMER+SIDHU),LAHORE+,PAKISTAN"
I TATE LIFE (HERPALKAY IDE),"288,600","468,000","I+TATE+LIFE+(HERPALKAY+IDE),LAHORE+,PAKISTAN"
STATE LIFE SCHEME (KAMAHAN),"343,200","608,400","STATE+LIFE+SCHEME+(KAMAHAN),LAHORE+,PAKISTAN"
SUI NORTHERN OFFICER SOCIETY (KAMAHAN),"312,000","530,400","SUI+NORTHERN+OFFICER+SOCIETY+(KAMAHAN),LAHORE+,PAKISTAN"
SUPER TOWN & NEW SUPER TOWN IKOREY),"351,000","842,400","SUPER+TOWN+&+NEW+SUPER+TOWN+IKOREY),LAHORE+,PAKISTAN"
SUPERIOR COURT COOP SOCIETY (AMEERPURA),"210,600","421,200","SUPERIOR+COURT+COOP+SOCIETY+(AMEERPURA),LAHORE+,PAKISTAN"
T& T EMPLOYEES COOP SCHEME (AMEERPURA),"171,600","312,000","T&+T+EMPLOYEES+COOP+SCHEME+(AMEERPURA),LAHORE+,PAKISTAN"
TAHAIT,"179,400","234,000","TAHAIT,LAHORE+,PAKISTAN"
TARIQ GARDEN SCHEME (SADHOKI),"234,000","390,000","TARIQ+GARDEN+SCHEME+(SADHOKI),LAHORE+,PAKISTAN"
TELECOMMUNICATION COOP SOCIETY(BHOBATIAN),"218,400","374,400","TELECOMMUNICATION+COOP+SOCIETY(BHOBATIAN),LAHORE+,PAKISTAN"
THE COOP ENGINEERING TOWN (NANGAR),"343,200","592,800","THE+COOP+ENGINEERING+TOWN+(NANGAR),LAHORE+,PAKISTAN"
TIPM COOP SOCIETY (SADHOKI),"195,000","343,200","TIPM+COOP+SOCIETY+(SADHOKI),LAHORE+,PAKISTAN"
TOWNSHIP SCHEME,"483,600","764,400","TOWNSHIP+SCHEME,LAHORE+,PAKISTAN"
U.E.T EMPLOYEES COOP SOCIETY (SADHOKI),"210,600","374,400","U.E.T+EMPLOYEES+COOP+SOCIETY+(SADHOKI),LAHORE+,PAKISTAN"
VENUS SCHEME (ATTARI SAROBA & CHANDRAI),"264,000","422,400","VENUS+SCHEME+(ATTARI+SAROBA+&+CHANDRAI),LAHORE+,PAKISTAN"
WAHEED BROTHERS COLONY (ATTARISAROBA),"594,000","792,000","WAHEED+BROTHERS+COLONY+(ATTARISAROBA),LAHORE+,PAKISTAN"
WALTON ROAD,"1,528,800","1,716,000","WALTON+ROAD,LAHORE+,PAKISTAN"
YASIN TOWN (AMER SADHU) WCB,"327,600","514,800","YASIN+TOWN+(AMER+SADHU)+WCB,LAHORE+,PAKISTAN"
YOUHANABAD,"264,000","462,000","YOUHANABAD,LAHORE+,PAKISTAN"
YOUSAF TOWN (ATTARI SAROBA),"297,000","462,000","YOUSAF+TOWN+(ATTARI+SAROBA),LAHORE+,PAKISTAN"
ZAHOOR TOWN (LLDHAR),"249,600","390,000","ZAHOOR+TOWN+(LLDHAR),LAHORE+,PAKISTAN"
ZAM ZAM SCHEME (PVT) (KACHHA),"264,000","435,600","ZAM+ZAM+SCHEME+(PVT)+(KACHHA),LAHORE+,PAKISTAN"
ZAMAN PARK (KOREY),"312,000","585,000","ZAMAN+PARK+(KOREY),LAHORE+,PAKISTAN"
AL MADINA ROAD/MAIN MARKET TOWNSHIP,––,"1,357,200","AL+MADINA+ROAD/MAIN+MARKET+TOWNSHIP,LAHORE+,PAKISTAN"
COLLEGE ROAD,––,"1,513,200","COLLEGE+ROAD,LAHORE+,PAKISTAN"
AL-MAVA HOUSING SOCIETY (JUCKAY),"198,000","396,000","AL-MAVA+HOUSING+SOCIETY+(JUCKAY),LAHORE+,PAKISTAN"
SHARIF PARK & GREEN AVENEU WULKAY),"198,000","396,000","SHARIF+PARK+&+GREEN+AVENEU+WULKAY),LAHORE+,PAKISTAN"
CENTRAL PARK HOUSING SCHEME (FEROZEPURROAD JULKAY),"264,000","594,000","CENTRAL+PARK+HOUSING+SCHEME+(FEROZEPURROAD+JULKAY),LAHORE+,PAKISTAN"
PHED COOP SOCIETY (BHOBATIAN),"187,200","296,400","PHED+COOP+SOCIETY+(BHOBATIAN),LAHORE+,PAKISTAN"
NASHMAN IQBAL SOCIETY (BAGRIAN DHARAMCHAND),"296,400","405,600","NASHMAN+IQBAL+SOCIETY+(BAGRIAN+DHARAMCHAND),LAHORE+,PAKISTAN"
NASHMAN IQBAL SOCIETY (SADHOKI),"234,000","358,800","NASHMAN+IQBAL+SOCIETY+(SADHOKI),LAHORE+,PAKISTAN"
GOLDEN SOCIETY (BAGRIAN DHARAM CHAND),"249,600","405,600","GOLDEN+SOCIETY+(BAGRIAN+DHARAM+CHAND),LAHORE+,PAKISTAN"
ARMY WELFARE TRUST SOCIETY (TUKRA SHAHALAM. JANJATY),"249,600","358,800","ARMY+WELFARE+TRUST+SOCIETY+(TUKRA+SHAHALAM.+JANJATY),LAHORE+,PAKISTAN"
GREATER LAHORE (JANJATY),"234,000","390,000","GREATER+LAHORE+(JANJATY),LAHORE+,PAKISTAN"
"FAZAIYA HOUSING SCHEME (JANJATY, CHAK-62& KOT JEEVAN MAL)","265,200","436,800","FAZAIYA+HOUSING+SCHEME+(JANJATY,+CHAK-62&+KOT+JEEVAN+MAL),LAHORE+,PAKISTAN"
THE GREATER LAHORE COOPERATIVE SOCIETY/ CHINAR BAGH (KHANA NEPAL & TAROGIL),"148,200","280,800","THE+GREATER+LAHORE+COOPERATIVE+SOCIETY/+CHINAR+BAGH+(KHANA+NEPAL+&+TAROGIL),LAHORE+,PAKISTAN"
BEACON HOUSE (TAROGIL & ASAL LAKHOWAL),"148,200","280,800","BEACON+HOUSE+(TAROGIL+&+ASAL+LAKHOWAL),LAHORE+,PAKISTAN"
BAHRIA NASHAMAN (ATTU ASAL),"158,400","462,000","BAHRIA+NASHAMAN+(ATTU+ASAL),LAHORE+,PAKISTAN"
DHA (KAMAHAN),"405,600","733,200","DHA+(KAMAHAN),LAHORE+,PAKISTAN"
DEFENCE HOUSING SOCIETY (KARBATH),"390,000","717,600","DEFENCE+HOUSING+SOCIETY+(KARBATH),LAHORE+,PAKISTAN"
DHA (DULU KHURD),"405,600","733,200","DHA+(DULU+KHURD),LAHORE+,PAKISTAN"
PUNJAB PARK (GAJJUMATA),"264,000","462,000","PUNJAB+PARK+(GAJJUMATA),LAHORE+,PAKISTAN"
MEDINA TOWN (GAJJUMATA),"330,000","528,000","MEDINA+TOWN+(GAJJUMATA),LAHORE+,PAKISTAN"
EDEN HOMES HOUSING SCHEME GAJJUMATA),"224,400","422,400","EDEN+HOMES+HOUSING+SCHEME+GAJJUMATA),LAHORE+,PAKISTAN"
EDEN DEVELOPERS (CHAK-62 KOT JEEVANMAL),"218,400","358,800","EDEN+DEVELOPERS+(CHAK-62+KOT+JEEVANMAL),LAHORE+,PAKISTAN"
PEARL GARDEN (KAHAN KOHNA),"158,400","184,800","PEARL+GARDEN+(KAHAN+KOHNA),LAHORE+,PAKISTAN"
MADNI GARDEN (KHANA KOHNA),"158,400","184,800","MADNI+GARDEN+(KHANA+KOHNA),LAHORE+,PAKISTAN"
REHAN GARDEN (KHANA KOHNA),"158,400","211,200","REHAN+GARDEN+(KHANA+KOHNA),LAHORE+,PAKISTAN"
KAHNA CANAL VIEW (KHANA KOHNA),"158,400","264,000","KAHNA+CANAL+VIEW+(KHANA+KOHNA),LAHORE+,PAKISTAN"
MUBARAK TOWN (ATTARI SAROBA),"264,000","386,100","MUBARAK+TOWN+(ATTARI+SAROBA),LAHORE+,PAKISTAN"
MARYUM PARK (DULLU KALAN),"237,600","594,000","MARYUM+PARK+(DULLU+KALAN),LAHORE+,PAKISTAN"
UMAR TOWN (DULLU KALAN),"237,600","594,000","UMAR+TOWN+(DULLU+KALAN),LAHORE+,PAKISTAN"
HAJI PARK (DULLU KALAN),"237,600","462,000","HAJI+PARK+(DULLU+KALAN),LAHORE+,PAKISTAN"
PRIME HOMES (DULLU KALAN),"330,000","462,000","PRIME+HOMES+(DULLU+KALAN),LAHORE+,PAKISTAN"
PACKAGES LTD HOUSING SCHEME DULLUKALAN),"264,000","462,000","PACKAGES+LTD+HOUSING+SCHEME+DULLUKALAN),LAHORE+,PAKISTAN"
PHARMA NIGHT HOUSING SCHEME KAMAHAN),"303,600","462,000","PHARMA+NIGHT+HOUSING+SCHEME+KAMAHAN),LAHORE+,PAKISTAN"
WYETH EMPLOYEES COOPERATIVE HOUSINGSOCIETY LTD (HALLOKI),"132,600","171,600","WYETH+EMPLOYEES+COOPERATIVE+HOUSINGSOCIETY+LTD+(HALLOKI),LAHORE+,PAKISTAN"
SAHAR ASSOCIATE PVT LTD. (HALLOKI),"132,600","171,600","SAHAR+ASSOCIATE+PVT+LTD.+(HALLOKI),LAHORE+,PAKISTAN"
OFFICERS & EXECUTIVE COOPERATIVEHOUSING SOCIETY (HALLOKI),"132,600","171,600","OFFICERS+&+EXECUTIVE+COOPERATIVEHOUSING+SOCIETY+(HALLOKI),LAHORE+,PAKISTAN"
RAVIAN COOPERATIVE HOUSING SOCIETY(HALLOKI),"132,600","171,600","RAVIAN+COOPERATIVE+HOUSING+SOCIETY(HALLOKI),LAHORE+,PAKISTAN"
TELECOM COOPERATIVE HOUSING SOCIETY(HALLOKI),"132,600","171,600","TELECOM+COOPERATIVE+HOUSING+SOCIETY(HALLOKI),LAHORE+,PAKISTAN"
PAKISTAN ACRICATES HOUSING SOCIETY(SADHOKI),"234,000","405,600","PAKISTAN+ACRICATES+HOUSING+SOCIETY(SADHOKI),LAHORE+,PAKISTAN"
NATIONAL POLICE FOUNDATION HOUSINGSOCIETY (SADHOKI),"234,000","405,600","NATIONAL+POLICE+FOUNDATION+HOUSINGSOCIETY+(SADHOKI),LAHORE+,PAKISTAN"
DHA REHBAR (SADHOKI),"405,600","733,200","DHA+REHBAR+(SADHOKI),LAHORE+,PAKISTAN"
NESPAK EMPLOYEES HOUSING SCHEME(SADHOKI),"265,200","421,200","NESPAK+EMPLOYEES+HOUSING+SCHEME(SADHOKI),LAHORE+,PAKISTAN"
ENGINEERING UNIVERSITY EMPLOYEESSOCIETY (SADHOKI),"210,600","358,800","ENGINEERING+UNIVERSITY+EMPLOYEESSOCIETY+(SADHOKI),LAHORE+,PAKISTAN"
DREAM GARDEN (FATEH SINGH WALA),"132,600","288,600","DREAM+GARDEN+(FATEH+SINGH+WALA),LAHORE+,PAKISTAN"
ELITE TOWN (KAHNA KOHNA),"211,200","396,000","ELITE+TOWN+(KAHNA+KOHNA),LAHORE+,PAKISTAN"
