,Unnamed: 0,hhcode,Province,Region,PSU,idc,first_job_income,second_job_income,psu,weight,district,stratum,code
10496,47345,2502103801.0,Punjab,Urban,25021038.0,2.0,1500.0,,25021038.0,1498.1831366764998,2502,LAHORE,2502.0
10497,47347,2502103801.0,Punjab,Urban,25021038.0,4.0,49000.0,,25021038.0,1498.1831366764998,2502,LAHORE,2502.0
10498,47351,2502103802.0,Punjab,Urban,25021038.0,1.0,23000.0,,25021038.0,1498.1831366764998,2502,LAHORE,2502.0
10499,47353,2502103803.0,Punjab,Urban,25021038.0,1.0,60000.0,,25021038.0,1498.1831366764998,2502,LAHORE,2502.0
10500,47357,2502103804.0,Punjab,Urban,25021038.0,1.0,104000.0,,25021038.0,1498.1831366764998,2502,LAHORE,2502.0
10501,47362,2502103804.0,Punjab,Urban,25021038.0,52.0,5000.0,,25021038.0,1498.1831366764998,2502,LAHORE,2502.0
10502,47363,2502103805.0,Punjab,Urban,25021038.0,1.0,40500.0,,25021038.0,1498.1831366764998,2502,LAHORE,2502.0
10503,47366,2502103806.0,Punjab,Urban,25021038.0,1.0,60000.0,,25021038.0,1498.1831366764998,2502,LAHORE,2502.0
10504,47371,2502103807.0,Punjab,Urban,25021038.0,2.0,12000.0,,25021038.0,1498.1831366764998,2502,LAHORE,2502.0
10505,47372,2502103807.0,Punjab,Urban,25021038.0,3.0,10000.0,,25021038.0,1498.1831366764998,2502,LAHORE,2502.0
10506,47374,2502103807.0,Punjab,Urban,25021038.0,52.0,26000.0,,25021038.0,1498.1831366764998,2502,LAHORE,2502.0
10507,47376,2502103808.0,Punjab,Urban,25021038.0,1.0,9000.0,,25021038.0,1498.1831366764998,2502,LAHORE,2502.0
10508,47377,2502103808.0,Punjab,Urban,25021038.0,2.0,10000.0,,25021038.0,1498.1831366764998,2502,LAHORE,2502.0
10509,47378,2502103808.0,Punjab,Urban,25021038.0,3.0,9000.0,,25021038.0,1498.1831366764998,2502,LAHORE,2502.0
10510,47379,2502103808.0,Punjab,Urban,25021038.0,4.0,7000.0,,25021038.0,1498.1831366764998,2502,LAHORE,2502.0
10511,47382,2502103809.0,Punjab,Urban,25021038.0,1.0,12000.0,,25021038.0,1498.1831366764998,2502,LAHORE,2502.0
10512,47383,2502103809.0,Punjab,Urban,25021038.0,2.0,10000.0,,25021038.0,1498.1831366764998,2502,LAHORE,2502.0
10513,47384,2502103809.0,Punjab,Urban,25021038.0,3.0,12000.0,,25021038.0,1498.1831366764998,2502,LAHORE,2502.0
10514,47389,2502103810.0,Punjab,Urban,25021038.0,1.0,9000.0,,25021038.0,1498.1831366764998,2502,LAHORE,2502.0
10515,47390,2502103810.0,Punjab,Urban,25021038.0,2.0,22000.0,,25021038.0,1498.1831366764998,2502,LAHORE,2502.0
10516,47391,2502103810.0,Punjab,Urban,25021038.0,3.0,24000.0,,25021038.0,1498.1831366764998,2502,LAHORE,2502.0
10517,47392,2502103810.0,Punjab,Urban,25021038.0,4.0,18000.0,,25021038.0,1498.1831366764998,2502,LAHORE,2502.0
10518,47397,2502103811.0,Punjab,Urban,25021038.0,2.0,18000.0,,25021038.0,1498.1831366764998,2502,LAHORE,2502.0
10519,47398,2502103811.0,Punjab,Urban,25021038.0,3.0,17000.0,,25021038.0,1498.1831366764998,2502,LAHORE,2502.0
10520,47405,2502103812.0,Punjab,Urban,25021038.0,2.0,40000.0,,25021038.0,1498.1831366764998,2502,LAHORE,2502.0
10521,47407,2502104201.0,Punjab,Urban,25021042.0,1.0,24000.0,,25021042.0,1565.9055364587143,2502,LAHORE,2502.0
10522,47411,2502104202.0,Punjab,Urban,25021042.0,1.0,9000.0,,25021042.0,1565.9055364587143,2502,LAHORE,2502.0
10523,47412,2502104202.0,Punjab,Urban,25021042.0,2.0,5000.0,,25021042.0,1565.9055364587143,2502,LAHORE,2502.0
10524,47413,2502104202.0,Punjab,Urban,25021042.0,3.0,6000.0,,25021042.0,1565.9055364587143,2502,LAHORE,2502.0
10525,47414,2502104202.0,Punjab,Urban,25021042.0,4.0,10000.0,,25021042.0,1565.9055364587143,2502,LAHORE,2502.0
